NumeroForo,AreaDelaminata_mm2,Dmax_mm,DF_diametro,DHAR_Area_Ratio,ShapeFactor,ScalaCalcolata_px_per_mm,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Forza_N
460,16.469346,9.721609,1.620268,0.582484,0.358392,48.216851,-0.109929,-2.501715,-2.153576,-2.433438,5.934949,3.712723,4.725349,248.6
461,24.494251,9.296449,1.549408,0.866307,0.618496,48.775487,-0.252133,-3.129185,-3.676613,-3.137799,6.422036,4.700377,6.79372,243.5
462,17.419163,9.334646,1.555774,0.616077,0.433724,47.661685,-0.12417,-1.745982,-2.172324,-1.982504,4.301927,4.710566,4.145242,245.1
463,12.289329,9.611838,1.601973,0.434646,0.277496,47.938411,0.031224,-0.870813,-1.27615,-1.439482,3.284564,3.249526,2.821604,244.2
464,21.277847,10.126473,1.687746,0.75255,0.407117,48.236285,-0.178109,-1.962506,-2.883994,-3.699506,6.718385,4.719204,-6.837249,241.3
465,15.293661,10.394466,1.732411,0.540903,0.270283,47.565119,-0.081583,-2.386998,-1.544584,-2.763501,-4.972393,4.336382,5.222363,240.9
466,17.754351,9.709438,1.61824,0.627932,0.387924,48.595326,-0.108777,-1.835903,-1.890151,-3.13566,-5.936292,-4.259269,5.681766,240.5
467,17.58747,9.852093,1.642015,0.62203,0.366716,48.553823,-0.131879,-1.667748,-3.538259,-2.543997,5.861197,-3.813929,5.626412,236.4
468,17.264437,10.02686,1.671143,0.610605,0.340602,48.241784,-0.120714,-2.333864,-2.240233,-2.422456,5.222825,-4.011432,-4.776892,241.3
469,18.948348,9.245797,1.540966,0.670161,0.48754,48.180528,-0.162292,-2.060762,-3.660589,-2.205113,5.198696,-3.566907,-5.413175,233.2
470,7.982605,8.765565,1.460928,0.282327,0.248898,46.777483,0.142573,-0.947392,-1.145899,-0.666198,-1.576773,-1.27984,2.414906,236.8
471,16.771536,9.45974,1.576623,0.593172,0.399243,48.407189,-0.101682,-1.991346,-3.194908,-3.468679,6.591601,4.472511,6.899826,228.8
472,19.638431,9.086311,1.514385,0.694567,0.537025,47.802838,-0.167656,-3.263974,-2.450602,-2.56271,-5.176613,-4.824811,-5.256232,240.2
473,29.930155,10.569014,1.761502,1.058563,0.503385,48.0125,-0.298283,-2.937295,-4.421528,-2.869947,6.493557,-4.984602,-6.509156,241.1
474,26.537784,10.924303,1.820717,0.938582,0.405433,46.202729,-0.240045,-1.510624,-1.858666,-2.213159,-4.397234,-3.6618,-4.399794,248.4
475,13.931317,9.43838,1.573063,0.49272,0.334154,47.655748,-0.028502,-1.396507,-2.165901,-2.895234,6.255032,3.629235,-5.417576,243.4
476,15.985495,9.369072,1.561512,0.565371,0.393078,48.465239,-0.094236,-1.791957,-1.876947,-1.932382,-3.874023,3.48421,4.237244,233.1
477,25.996224,9.343004,1.557167,0.919428,0.645317,48.969793,-0.270694,-3.5045,-2.843887,-3.034243,6.202253,4.785218,-5.990134,241.2
478,16.384461,9.304563,1.55076,0.579482,0.412484,48.128381,-0.117956,-1.650969,-2.065857,-1.882568,-4.087604,3.728619,-3.948147,242.7
479,11.866583,9.145316,1.524219,0.419695,0.317171,48.071395,-0.013203,-1.548698,-1.679721,-0.968854,-2.298539,-1.956567,-3.097805,234.4
480,20.57196,9.284324,1.547387,0.727584,0.521787,47.868271,-0.181666,-1.994478,-1.753684,-3.066755,6.210782,4.170346,-5.469318,229.4
481,20.480482,9.277873,1.546312,0.724349,0.520709,48.567297,-0.183905,-3.414848,-2.144875,-3.505626,6.516392,6.196174,-6.284538,240.7
482,23.197176,9.978382,1.663064,0.820432,0.464629,47.811346,-0.218792,-1.768236,-2.272216,-3.717805,-6.63752,4.63454,6.614288,241.0
483,16.564619,9.101999,1.517,0.585854,0.45021,46.88925,-0.107076,-2.000177,-2.218573,-2.877859,-5.540744,4.217555,5.582408,247.6
484,24.26928,9.810144,1.635024,0.85835,0.512967,47.095094,-0.239737,-2.945723,-2.607235,-3.354994,6.32778,-4.848668,-6.426113,237.2
485,29.277257,11.697754,1.949626,1.035471,0.369674,47.375504,-0.299683,-2.879733,-3.473101,-3.995309,6.984892,-5.451815,-6.92712,243.9
486,57.072567,15.321215,2.553536,2.018529,0.365639,47.075189,-0.417305,-2.336945,-2.758678,-2.265841,-5.188491,3.70834,4.809706,238.4
487,14.087079,9.289064,1.548177,0.498229,0.356679,48.331143,-0.095693,-1.207663,-1.312694,-1.451826,-3.953927,2.216337,2.83531,245.3
488,5.754548,8.645897,1.440983,0.203525,0.189074,48.118459,0.309643,-0.979259,-0.693935,-1.440099,-3.350784,-1.962676,2.511609,241.9
489,9.432834,8.179957,1.363326,0.333618,0.388534,48.562928,0.082458,-1.757873,-2.006894,-1.569949,-3.501099,-2.488299,-3.516681,253.4
490,7.749721,8.878327,1.479721,0.27409,0.23041,48.349069,0.164021,-1.779561,-0.862977,-1.263903,2.333268,2.16501,-3.111987,248.1
491,4.857252,9.481866,1.580311,0.17179,0.114727,47.607855,0.372805,-0.669131,-0.628737,-0.393788,1.026589,-0.745752,-1.089011,245.0
492,3.818211,8.252599,1.375433,0.135042,0.151423,49.105385,0.430909,-0.354522,-0.344675,0.017127,-0.147413,0.541894,1.373214,259.8
493,12.714332,9.285219,1.547537,0.449677,0.32238,48.782737,-0.006326,-1.911846,-1.9359,-1.391724,-3.055499,2.449517,-5.246528,240.8
494,5.359223,9.187797,1.5313,0.189544,0.140937,48.791074,0.307168,-0.303656,-0.527477,-0.340494,-0.840188,-0.54421,1.066074,233.2
495,6.030445,7.855059,1.309176,0.213283,0.29874,47.890801,0.257324,-0.326247,-1.513739,-1.390338,-2.895223,4.497344,3.174959,240.2
496,12.278781,9.72953,1.621588,0.434273,0.266499,48.422895,0.005024,-1.618533,-1.13339,-1.366196,3.340084,2.219353,2.623846,242.1
497,14.176018,9.54691,1.591152,0.501374,0.327318,48.396959,-0.038747,-1.910152,-1.578659,-2.170683,4.340767,-3.183512,-4.108857,236.6
498,11.568899,8.941801,1.4903,0.409166,0.335109,48.499161,0.027107,-1.151472,-1.339167,-4.417072,-6.839525,-5.07817,-6.90852,237.2
499,11.697666,8.525833,1.420972,0.41372,0.405942,48.433119,-0.002011,-1.68154,-1.445682,-1.582479,-3.964631,2.748033,3.100524,253.8
500,18.5951,9.882687,1.647114,0.657667,0.38393,48.193372,-0.112001,-2.434313,-2.456886,-2.072489,-4.910226,3.802738,4.352037,236.8
501,10.821995,8.947483,1.491247,0.38275,0.312751,48.40938,0.052009,-2.12608,-1.86471,-1.617977,-3.541237,2.682054,3.482167,246.5
502,12.561716,9.061718,1.510286,0.44428,0.346832,48.615336,-0.021745,-1.927657,-2.029251,-1.83319,4.039551,2.843969,-3.835769,252.4
